0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.05,0.02,0.37,-0.44,-0.44,0.5,-0.39,-0.39,-0.03,0.52,-0.28,-0.14,0.36,-0.22,0.55,-0.55,0.42,0.03,-0.2,0.19,-0.1,0.25,0.43,-0.24,-0.28,-0.61,-0.29,-0.33,-0.05,0.49,-0.55,0.51,0.07,0.25,-0.62,-0.57,0.54,-0.61,0.15,-0.58,0.01,-0.52,0.32,-0.3,-0.43,0.73,0.58,-0.09,0.53,-0.23,-0.37
-0.04,0.09,0.01,0.08,0.37,0.52,-0.1,-0.17,-0.5,-0.4,0.02,0.16,0.03,0.35,0.27,0.49,0.54,-0.54,0.43,-0.16,0.39,0.3,-0.06,0.43,0.52,0.49,0.37,-0.6,-0.45,0.11,0.42,-0.4,-0.53,0.42,0.45,-0.22,0.17,0.2,0.49,0.35,-0.54,-0.21,-0.7,-0.41,-0.31,-0.54,-0.63,0.38,-0.09,0.13,-0.58
0.38,0.04,0.17,0.11,-0.51,0.27,-0.3,-0.19,-0.29,0.3,0.13,-0.01,0.52,-0.04,0.07,-0.25,-0.54,-0.08,0.02,-0.52,-0.18,0.2,-0.24,-0.08,0.41,-0.63,0.12,0.24,-0.49,-0.22,0.38,0.31,0.4,0.32,-0.42,-0.57,0.01,0.04,0.08,-0.44,-0.36,0.01,-0.1,0.04,0,0.11,0.09,0.42,0.48,-0.27,-0.76
0.45,-0.23,0.3,0.37,0.01,-0.35,0.36,-0.34,-0.1,0.35,-0.13,0.54,0.32,0.41,-0.06,-0.3,-0.53,-0.39,-0.04,-0.35,-0.03,0.5,0.1,0.08,-0.03,-0.55,-0.61,-0.55,0.6,0.43,0.36,-0.03,0.55,-0.52,-0.63,-0.15,0.62,0.1,-0.54,0.32,0.33,0.01,0.3,-0.66,-0.35,0.09,0.19,-0.61,0,-0.4,-0.28
0.31,0.34,-0.34,-0.09,0.01,-0.07,0.08,0.19,0.08,-0.45,-0.03,0.27,-0.05,0.17,0.1,-0.36,0.34,-0.3,0.08,-0.08,0.09,0.41,0.27,0.05,0.53,0.35,-0.21,0.43,-0.46,-0.43,0.2,-0.27,-0.17,0.46,0.07,-0.63,0.46,0.05,0.54,0.62,-0.48,-0.62,-0.32,-0.37,0.43,-0.48,0.39,-0.13,0.13,-0.22,-0.6
-0.22,0.13,-0.08,0.51,0.02,0.46,0.11,0.19,-0.34,0.4,-0.32,0.16,-0.28,-0.16,-0.56,-0.13,-0.28,0.03,0.31,-0.21,0.31,0.29,0.35,0.36,-0.04,0.51,-0.57,0.12,0.24,0.38,-0.23,0.13,0.63,0.14,-0.27,-0.18,-0.22,-0.57,0.27,0.42,-0.1,0.4,0.44,0.13,0.5,0.6,-0.37,0.56,-0.72,0.57,0.59
0.35,0.4,0.43,-0.36,0.2,-0.11,-0.3,0.21,-0.27,0.08,0.24,-0.08,-0.14,-0.12,0.37,0.54,0.5,0.41,0.38,-0.3,0.07,0.27,-0.37,-0.33,-0.18,-0.53,-0.57,-0.04,0.34,0.34,0.41,0.26,-0.01,0.26,-0.22,0.21,-0.45,0.11,0.27,0.14,-0.26,-0.21,-0.31,-0.62,0.67,-0.5,-0.69,0.11,0.14,-0.5,0.29
-0.17,0.41,0.28,0.09,0.44,0.33,0.33,-0.48,0.2,-0.25,0.37,-0.26,-0.31,0.33,0.31,0.48,0.23,-0.44,0.47,-0.45,-0.44,-0.53,-0.43,0.13,-0.36,0.11,0.3,0.12,0.06,-0.46,0.07,0.37,-0.34,-0.58,-0.22,-0.1,0.05,-0.39,-0.53,0.53,-0.64,-0.01,0.44,0.27,0.32,-0.23,-0.33,0.57,-0.24,-0.36,0.05
-0.5,0.46,0.16,0.15,0.05,-0.08,-0.2,-0.4,-0.43,0.5,-0.46,-0.41,-0.57,0.53,0.22,-0.28,0.25,-0.51,-0.56,0.39,0.05,-0.59,0.03,0.08,-0.37,0.04,0.22,0.48,-0.39,0.54,0.43,0.66,0.26,-0.32,-0.01,-0.15,-0.35,0.09,0.39,-0.7,0.17,-0.63,0.18,0.57,0.25,-0.72,0.65,0.54,0.64,0.24,0.62
0.29,-0.02,-0.43,0.27,-0.24,0.34,-0.28,0.43,0.01,0.43,0.26,0.21,0.47,-0.39,0.12,0.12,-0.28,-0.09,0.48,-0.23,-0.17,-0.38,-0.34,-0.43,0.17,-0.05,-0.48,-0.56,0.23,-0.45,0.49,-0.19,0.42,-0.31,-0.58,0.1,0.27,0.49,0.52,0.33,-0.43,0.42,-0.25,0.67,0.38,-0.61,0.7,-0.44,-0.41,-0.15,0.25
0.05,0.13,-0.05,0.28,-0.05,-0.19,-0.52,-0.24,0.16,0.33,-0.22,0.39,0.19,-0.28,0.24,-0.38,-0.29,0.05,-0.11,-0.27,0.47,-0.09,-0.58,-0.3,-0.16,0.45,-0.5,0.38,-0.27,-0.5,-0.65,0.41,0.49,0.48,0.67,-0.64,-0.01,-0.37,-0.61,0.17,-0.5,-0.65,-0.08,0.36,0.03,-0.26,-0.12,-0.64,-0.11,-0.31,-0.05
-0.2,-0.02,0.33,-0.42,0.14,0.32,-0.41,0.37,-0.4,0.47,-0.19,0.44,0.19,0.38,0.23,-0.25,0.3,-0.1,0.54,0.57,0.54,-0.11,0.35,0.29,-0.01,-0.54,0.07,0.3,0.55,0.16,0.15,-0.39,0.02,0.4,0.38,0.3,-0.16,0.28,-0.66,-0.23,0.58,0.58,0.44,0.51,0.11,0.03,0.73,0.39,0.48,0.14,0.26
0.36,-0.15,-0.52,0.44,0.46,0.28,-0.27,0.54,-0.17,-0.01,-0.28,-0.19,-0.27,0.3,0.14,0.3,0.42,-0.28,0.28,0.54,0.21,-0.51,-0.51,-0.04,-0.54,0.37,0.09,-0.09,0.2,-0.28,-0.37,-0.24,0.42,-0.18,-0.33,-0.15,0.32,0.2,-0.08,-0.07,-0.11,0.16,0.32,-0.58,-0.6,0.07,-0.25,0.71,0.41,-0.51,-0.73
-0.17,0.06,0.45,0.01,-0.19,0.28,-0.39,0.02,0.03,-0.31,-0.28,-0.49,-0.26,-0.04,0.51,-0.38,0.53,-0.55,0.09,-0.47,-0.22,-0.2,-0.2,-0.31,0.42,-0.07,-0.02,-0.47,0.51,-0.45,-0.5,0.17,0.65,-0.48,-0.05,0.55,-0.37,0.04,-0.05,-0.45,-0.16,0.39,0.18,0.4,0.32,-0.54,-0.7,-0.18,0.03,0.15,-0.52
-0.17,0.07,-0.13,0.34,0.18,-0.11,-0.1,0.29,-0.45,-0.23,0.34,0.12,-0.15,-0.07,0.11,0.57,0.19,0.48,-0.22,0.19,-0.55,-0.51,-0.59,0.29,-0.43,-0.21,-0.21,-0.07,0.28,-0.39,0.38,0.43,-0.08,0.45,-0.28,0.05,0.38,0.12,-0.6,-0.04,-0.43,-0.21,-0.34,0.56,0.45,0.08,0.6,-0.7,-0.29,0.7,0.15
-0.31,0.3,0.4,-0.01,-0.04,0.33,0.14,-0.38,-0.11,0.54,0.12,0,0.18,0.49,0.12,-0.56,-0.33,-0.15,-0.32,0.57,-0.6,-0.51,-0.51,0.05,0.46,-0.42,-0.64,-0.62,0.01,-0.23,0.26,0,-0.5,0.45,0.57,-0.35,-0.16,-0.65,-0.07,0.39,0.57,0.67,0.15,-0.09,-0.65,0.42,0.55,0.41,0.43,0.7,-0.56
-0.33,0.19,0.3,0.07,0.3,-0.21,0.44,-0.02,0.5,0.44,0.13,-0.24,0.5,0.13,-0.42,0.1,0.1,-0.36,-0.28,-0.04,0.29,-0.56,0.55,0.32,-0.2,-0.43,-0.1,-0.37,-0.49,-0.21,-0.63,-0.5,0.44,0.67,-0.3,0.39,-0.31,0.29,-0.25,0.28,-0.19,-0.19,-0.25,0.53,0.3,0.57,0.65,0.7,-0.39,0.73,-0.32
-0.48,-0.48,0.46,-0.07,0.46,0.11,-0.53,0.38,-0.39,0.23,-0.02,-0.29,-0.16,0.33,-0.1,0.53,0.5,0.2,-0.04,-0.51,0.22,0.06,-0.44,-0.3,0.37,0.25,0.55,0.29,0.01,-0.48,-0.08,-0.27,-0.54,0.4,0.53,-0.08,-0.26,-0.27,-0.25,0.27,0.48,0.57,0.36,-0.09,0.2,-0.65,0.18,-0.37,0.53,-0.4,0.43
-0.17,0.13,-0.38,0.34,-0.29,0.27,-0.08,0.1,-0.12,0.26,-0.35,0.48,-0.07,-0.54,0.16,0.54,-0.54,-0.22,-0.03,-0.1,0.44,-0.13,0.13,-0.5,-0.05,-0.12,0.18,0.51,0.35,-0.2,0.53,0.43,-0.32,0.6,0.28,0.46,-0.69,0.6,0.45,-0.67,-0.29,0.69,0.36,0.24,-0.39,0.04,0.27,0.45,-0.27,0.04,0.22
0.09,-0.49,0.09,0.32,0.31,-0.36,-0.21,-0.19,0.22,0.06,0.14,-0.41,-0.52,-0.03,0.29,-0.34,0.53,-0.31,-0.07,0.44,0.38,-0.42,-0.22,0.22,0.27,0.06,-0.23,-0.64,0.35,0.26,-0.04,-0.43,-0.15,-0.34,0.57,0.61,-0.13,-0.58,-0.64,0.7,0.17,-0.31,-0.41,0.58,-0.25,0.39,-0.01,-0.36,-0.68,-0.52,-0.76
0.27,-0.36,0.39,-0.31,0,-0.28,0.34,0.49,0.04,-0.19,0.31,0,0.01,-0.34,0.29,0.08,-0.16,0.36,-0.46,-0.3,-0.51,0.19,-0.11,0.12,0.14,0.44,-0.29,0.07,0.63,-0.29,-0.3,0.23,-0.62,0.03,-0.12,0.59,-0.32,0.41,-0.07,0.02,0.52,0.44,-0.12,0.61,-0.47,-0.29,-0.14,0.62,-0.64,-0.23,-0.36
0.16,-0.11,-0.16,0.02,0.06,0.38,0.32,0.53,0.38,0.47,-0.22,0.47,0.21,0.11,0.45,-0.34,-0.03,-0.11,-0.31,-0.21,-0.5,-0.55,-0.51,-0.37,-0.06,0.42,-0.29,-0.26,-0.5,-0.65,0.48,-0.61,-0.49,0.43,0.35,0.29,0.55,-0.6,-0.57,0.53,0.49,0.48,-0.02,-0.47,-0.44,-0.36,0.03,0.25,0.01,-0.19,0.28
0.37,0.08,0.22,-0.15,0.11,0.03,-0.27,-0.17,0.05,0.47,0.54,-0.34,-0.1,-0.12,0.1,0.12,-0.02,-0.49,0.23,-0.47,-0.56,-0.45,-0.33,-0.52,0.08,-0.2,-0.63,0.08,0.57,0.38,-0.18,-0.13,-0.37,-0.32,0.58,-0.06,0.35,0.51,-0.29,-0.61,0.32,0.24,-0.4,0.53,-0.35,0.12,-0.6,-0.21,0.46,0.33,-0.59
0.36,-0.3,-0.48,0.5,-0.29,-0.06,0.48,-0.46,-0.23,-0.05,-0.21,0.35,0.2,-0.37,0.51,0.04,0.49,-0.44,0.45,-0.37,0.44,0.6,0.42,0.11,0.4,-0.2,-0.58,-0.08,0.06,0.31,0.34,-0.65,0.34,-0.51,-0.63,-0.3,0.5,-0.43,-0.62,-0.03,-0.12,0.58,0.38,0.42,-0.54,-0.72,0.05,-0.62,0.45,-0.74,-0.55
0.4,-0.33,0.49,-0.15,-0.38,0.36,0.1,0.12,-0.41,-0.35,0.4,0.11,-0.31,0.08,-0.24,-0.27,-0.15,0.39,-0.24,0.52,0.41,0.11,-0.28,-0.2,0.32,0.53,-0.07,-0.48,0.5,-0.29,-0.21,0.29,0.33,0.54,-0.13,0.34,-0.39,-0.49,0.58,0.04,0.4,-0.41,0.57,-0.51,0.18,-0.5,0.2,0.03,0.21,-0.01,0.69
